Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
Cascade Steel Rolling Mills Inc,860.0,1,1,1,,Cascade Steel Rolling Mills,45.228035,-123.163599
Tangshan Shoutang Baosheng Functional Materials Co Ltd,860.0,1,1,1,1356006637.3997142,Tangshan Shoutang Baosheng Functional Materials Co Ltd,39.751793,118.490004
Nucor Steel Seattle Inc,855.0,1,1,1,,Nucor Steel Seattle plant,47.569597,-122.367395
Rajhi Steel Industries Co Ltd,850.0,1,1,1,,Rajhi Al Assemah Steel Jeddah plant,21.290402,39.183444
Columbus Stainless (Pty) Ltd,850.0,1,1,1,,Acerinox Columbus Stainless steel plant,-25.796313,29.497972
KVV Liepājas metalurgs AS,850.0,1,1,1,,Liepājas Metalurgs steel plant,56.525273,21.0267
Luoyang Luogang Group of Steel and Iron Co Ltd,850.0,1,1,1,898607349.1565193,Luoyang Luogang Group of Steel and Iron Co Ltd,34.798477,112.580505
Lamines Marchands Europeens SA,850.0,1,1,1,,LME Trith-Saint-Léger steel plant,50.3292,3.490913
Societe des Aciers d'Armature pour le Beton SAS,850.0,1,1,1,,Riva Sam Neuves-Maisons steel plant,48.611482,6.111864
Zhengzhou YONGTONG SPECIAL Steel Co Ltd,850.0,1,1,1,349309237.1561481,Zhengzhou Yongtong Special Steel Co Ltd,34.64443,112.937985
Marcegaglia Stainless Sheffield Ltd,850.0,1,1,1,,Marcegaglia Sheffield steel plant,53.399598,-1.395818
Yunnan Muguang Industry and Trade Co Ltd,850.0,1,1,1,106654789.90736285,Yunnan Muguang Industry and Trade Co Ltd,24.077079,102.771634
Ministry of Defense (Poland),840.0,1,1,1,,Huta Czestochowa steel plant,50.782614,19.165566
Wu'an Yongcheng Zhuye Co Ltd,830.0,1,1,1,188809636.46592227,Wu'an Yongcheng Zhuye Co Ltd,36.660278,113.993995
Sichuan Ya'an Anshan Iron and Steel Co Ltd,830.0,1,1,1,388037.3015476711,Sichuan Yaan Anshan Iron and Steel Co Ltd,30.059133,102.625907
Novasco BV,825.0,1,1,1,,Novasco Hagondange steel plant,49.241492,6.152631
Ann Joo Steel Bhd,820.0,1,1,1,,Ann Joo Steel Selangor plant,3.042585,101.537011
Aktobe Generatsiya LLC,818.0,1,1,1,,Aktobe Generatsiya steel plant,50.355117,57.145119
KSP Steel LLC,814.0,1,1,1,,KSP Steel Pavlodar steel plant,52.334465,76.956302
UMC Metals Ltd,805.0,1,1,1,,UMC Metals Chon Buri steel plant,13.275832,100.969791
Hmisho Steel SA,800.0,1,1,1,,Hmisho Steel Hassia plant,34.364258,36.803848
Sidenor Steel Industry SA,800.0,1,1,1,,Sidenor Steel Industry Thessaloniki plant,40.704458,22.816542
Gallantt Ispat Ltd,800.0,1,1,1,881769082.2374166,Gallantt Ispat Gorakhpur steel plant,26.757009,83.199086
North West Steel Industries Co,800.0,1,1,1,,North West Steel Industries Ariq plant,37.127089,46.17345
Hwanyoung Steel Industries Co Ltd,800.0,1,1,1,,Hansco Hwanyoung Steel Dangjin plant,36.956486,126.616956
Thai Nguyen Iron And Steel JSC,800.0,1,1,1,,Thai Nguyen Iron and Steel plant,21.557484,105.8728
Vertra Steel Industry and Trade Corp,800.0,1,1,1,,Vertra Celik Sarımazı steel plant,36.945926,36.001643
Shengli Vietnam Special Steel Co Ltd,800.0,1,1,1,,Shengli Vietnam Special Steel An Bai plant,20.652657,106.440208
Riva Industries,800.0,1,1,1,,Riva Industries Jorf Lasfar steel plant,33.165438,-8.5883
Sabzevar Pars Steel Complex,800.0,1,1,1,,Sabzevar Steel Complex Razavi Khorasan,36.58952,57.571719
Inner Mongolia Mingtuo Ferrite New Material Co Ltd,800.0,1,1,1,563557793.4713724,Inner Mongolia Mingtuo Ferrite New Material Co Ltd,40.597557,109.683202
Thy-Marcinelle SA,800.0,1,1,1,,Thy Marcinelle Charleroi steel plant,50.410335,4.429693
Hadeed Metal Manufacturing Co,800.0,1,1,1,,Hadeed Metal Manufacturing Co Damascus steel plant,33.626258,36.574968
Med-steel Ltd,800.0,1,1,1,,Medsteel Adra steel plant,33.628437,36.57259391534359
Sentuo Steel Ltd,800.0,1,1,1,,Sentuo Steel Tema plant,5.691267,-0.001073
KSRM Steel Plant Ltd,800.0,1,1,1,,KSRM Sitakunda steel plant,22.499834,91.715778
Ghaenat Steel Complex,800.0,1,1,1,,Ghaenat Steel Complex South Khorasan,33.926909,59.007852
QazSpetsSteel LLC,800.0,1,1,1,,QazSpetsSteel Aktobe steel plant,50.286408,57.168382
Millcon Steel PCL,800.0,1,1,1,,Millcon Steel Rayong steel plant,12.819544,101.152954
Mianeh Steel,800.0,1,1,1,,Miyaneh Steel East Azerbaijan steel plant,37.37881,47.736689
Baku Steel Company QSC,800.0,1,1,1,,Baku Steel Company steel plant,40.43136,49.886867
Cristian Lay SL,800.0,1,1,1,,Grupo Gallardo Corrugados Azpeitia steel plant,43.179125,-2.255939
Iranian Alborz Steel Co,800.0,1,1,1,,Iranian Alborz Steel Mazandaran plant,36.614049,53.234213
Nucor Steel Kankakee Inc,794.0,1,1,1,,Nucor Steel Kankakee plant,41.180734,-87.856196
Arian Steel Co,790.0,1,1,1,,Arian Steel Fath Abad plant,35.744901,50.222553
Hezhou Xindu Sanyuan Casting Co Ltd,780.0,1,1,1,90031801.82740928,Guangxi Hezhou Pengda New Materials Co Ltd,23.987007,111.739775
BSRM Steels Ltd,770.0,1,1,1,,BSRM Steels Mirsarai plant,22.873774,91.545562
Mono Steel (India) Ltd,770.0,1,1,1,31833855.18768871,Mono Steel Gandhidham plant,23.312265,70.201953
NLMK Indiana LLC,770.0,1,1,1,,NLMK Indiana steel plant,41.625912,-87.159989
Prakash Sponge Iron and Power Pvt Ltd,765.0,1,1,1,10655640.702493113,Prakash Sponge Iron and Power Challakere steel plant,14.152912,76.665824
Haicheng Hengsheng Casting Co Ltd,760.0,1,1,1,722648668.565372,Haicheng Hengsheng Casting Co Ltd,41.057478,122.8328
Optimus Steel LLC,750.0,1,1,1,,Optimus Steel Beaumont plant,30.08201,-94.074694
Empresa Siderurgica del Peru SAA,750.0,1,1,1,,Gerdau Siderperu Chimbote steel plant,-9.059693,-78.601178
Jiangsu Suxin Special Steel Co Ltd,750.0,1,1,1,11475374812.138918,Jiangsu Suxin Special Steel Group Co Ltd,31.400644,120.475103
Arcelormittal Warszawa SP zoo,750.0,1,1,1,,ArcelorMittal Warszawa steel plant,52.291337,20.917302
Global Steel Wire SA,750.0,1,1,1,,Celsa Global Steel Wire Santander plant,43.445344,-3.839228
Van Company for Industrial Investment and General Trading,750.0,1,1,1,,Van Steel Kurdistan plant,36.09176,43.97415
Xinjiang Kunyu Lron & Steel Co Ltd,750.0,1,1,1,499486217.0650745,Xinjiang Kunyu Iron and Steel Co Ltd,44.404189,84.966753
Jinzhou Jinxing Special Steel Co Ltd,740.0,1,1,1,549095770.045926,Jinzhou Jinxing Special Steel Company,41.188888,121.225043
Sidenor Aceros Especiales SLU,740.0,1,1,1,,Sidenor Aceros Especiales Basauri steel plant,43.227282,-2.884676
Kaavian Steel Co,735.0,1,1,1,,Kaavian Steel Khouzestan plant,31.283549,48.572468
Asil Celik Sanayi ve Ticaret AŞ,730.0,1,1,1,,Asil Celik Orhangazi steel plant,40.42752,29.270141
Chow Steel Industries PCL,730.0,1,1,1,,Chow Steel Kabinburi steel plant,14.074757,101.84215
Donelektrostal LLC,730.0,1,1,1,,Donelektrostal Shakhty steel plant,47.740352,40.18942
SIJ Acroni doo,726.0,1,1,1,,SIJ Acroni Jesenice steel plant,46.423994,14.094645
Vallourec Star LP,725.0,1,1,1,,Vallourec Star Youngstown steel plant,41.125495,-80.683382
Guangdong Yuedong Steel Co Ltd,720.0,1,1,1,10381673523.067602,Guangdong Yuedong Steel Co Ltd,23.711585,114.689761
Guangdong Daxing Iron & Steel Industrial Co Ltd,720.0,1,1,1,13690835436.783312,Guangdong Daxing Iron & Steel Industrial Co Ltd,23.529158,116.329247
Dongyuan Dongnan Industrial Co Ltd,720.0,1,1,1,24627219.044078365,Dongyuan Dongnan Industrial Co Ltd,24.038397,114.873435
Zijin County Dongri Foundry Co Ltd,720.0,1,1,1,12925770.443472354,Zijin County Dongri Casting Co Ltd,23.356612,114.769565
Stahl Gerlafingen AG,720.0,1,1,1,,Stahl Gerlafingen steel plant,47.171958,7.562287
Jiangyin Xicheng Steel Co Ltd,720.0,1,1,1,8256028173.465794,Jiangyin Xicheng Steel Co Ltd,31.892299,120.198394
Fujian Fuxin Special Steel Co Ltd,720.0,1,1,1,17250077612.688942,Fujian Fuxin Special Steel Co Ltd,24.472439,117.94885
Sam Montereau SAS,720.0,1,1,1,,Riva Sam Montereau steel plant,48.387211,2.981091
Univers Acier,720.0,1,1,1,,Univers Acier Sidi Hajjaj steel plant,33.501604,-7.467891
Fengshun County Agricultural Machinery Continuous Casting Co,720.0,1,1,1,453215982.2079722,Fengshun County Agricultural Machinery Continuous Casting Co,23.748318,116.13985
Fengshun Yongshun Continuous Casting Plant,720.0,1,1,1,453215982.2079722,Fengshun Yongshun Continuous Casting Plant,23.747173,116.126241
Shyeh Sheng Fuat Steel & Iron Works Co Ltd,720.0,1,1,1,,Shyeh Sheng Fuat Steel Kaohsiung steel plant,22.559391,120.3656132
Lianping County Huafeng Steel Co Ltd,720.0,1,1,1,271704400.55409884,Lianping Huafeng Steel Co Ltd,24.18435,114.728202
Fengshun County Hongbao Industrial Co Ltd,720.0,1,1,1,1404595.2279711333,Fengshun County Hongbao Industrial Co Ltd,23.720136,115.949449
NR Ispat and Power Pvt Ltd,712.0,1,1,1,155299189.2988411,N R Ispat and Power Raigarh steel plant,22.013086,83.330372
Orissa Sponge Iron and Steel Ltd,701.0,1,1,1,55597769.29395994,Orissa Sponge Iron and Steel plant,21.801994,85.56751
Dalmine SpA,700.0,1,1,1,,Tenaris Dalmine steel plant,45.641516,9.600242
Megasa Siderurgica SL,700.0,1,1,1,,Megasa Siderúrgica Narón steel plant,43.51421,-8.163839
ALPA - Aciéries et Laminoirs de Paris SAS,700.0,1,1,1,,Riva Alpa Gargenville steel plant,48.983515,1.76245
Zibo Qilin Fushan Steel Co Ltd,700.0,1,1,1,5698841287.0221615,Zibo Qilin Fushan Iron and Steel Co Ltd,36.887998,118.145416
Yun County Rongfeng Rolling Mill Factory,700.0,1,1,1,2868377109.874325,Shiyan Yunyang District Rongfeng Iron and Steel Co Ltd,32.738598,110.793269
Linyi Iron and Steel Investment Group Stainless Steel Co Ltd,700.0,1,1,1,238915176.01580334,Linyi Iron and Steel Investment Group Stainless Steel Co Ltd,35.148443,119.068015
Shiu Wing Steel Ltd,700.0,1,1,1,,Shiu Wing Tuen Mun Steel plant,22.369498,113.926095
Siderpotenza SpA,700.0,1,1,1,,Pittini Siderpotenza Potenza steel plant,40.639356,15.827842
Empresa Siderúrgica del Mutún SA,700.0,1,1,1,,ESM Mutún steel plant,-19.137325,-57.880605
Sohar Steel LLC,700.0,1,1,1,,Sohar Steel plant,24.499869,56.599111
LNM Group,700.0,1,1,1,,PT Ispat Indo steel plant,-7.3551286,112.7037297
Shaanxi Hanzhong Iron & Steel Group Co,700.0,1,1,1,554486726.9337088,Shaanxi Hanzhong Iron & Steel Group Company,33.132446,106.657646
Mukand Sumi Special Steel Ltd,700.0,1,1,1,208281204.80950305,Mukand Sumi Special Steel Hospet steel plant,15.328976,76.258613
Tangshan Yutian Jinzhou Industry Co Ltd,700.0,1,1,1,74159309.89730716,Tangshan Yutian Jinzhou Industrial Co Ltd,39.967373,117.857659
Yamato Steel Co Ltd,700.0,1,1,1,11107163158.787853,Yamato Steel Himeji Plant,34.783319,134.604616
Chongqing Yonghang Steel Group Co Ltd,700.0,1,1,1,476620864.0503676,Chongqing Yonghang Steel Group Co Ltd,29.836163,106.988138
Sıddık Kardeşler Haddecilik Sanayi Ticaret LŞ,690.0,1,1,1,,Siddik Kardesler Dilovasi steel plant,40.800833,29.512008
Ramsarup Industries Ltd,690.0,1,1,1,3789988245.8372393,Ramsarup Industries Kharagpur steel plant,22.977477,88.457443
Alton Steel Inc,680.0,1,1,1,,Alton Steel plant,38.884465,-90.14579
Bhagyalaxmi Metals Pvt Ltd,672.0,1,1,1,20100548.68457569,Bhagyalaxmi Metals Mul steel plant,20.088919,79.71792
Pan Gang Group Sichuan Changcheng Special Steel Co Ltd,669.0,1,1,1,2578998262.3683743,Pangang Group Jiangyou Changcheng Special Steel Co Ltd,31.763517,104.761441
Shakambhari Ispat & Power Ltd,660.0,1,1,1,740366725.9212388,Shakambhari Ispat and Power Purulia steel plant,23.613861,86.789527
Swiss Steel Holding AG,650.0,1,1,1,,Swiss Steel Emmenbrücke plant,47.308055,7.873594
Benteler Steel/Tube GmbH,650.0,1,1,1,,Benteler Steel Tube Lingen plant,52.467622,7.317169
Georgsmarienhuette GmbH,650.0,1,1,1,,Georgsmarienhütte Osnabrück steel plant,52.2122334,8.0420724
Sipar Aceros SA,650.0,1,1,1,,Gerdau Sipar Pérez steel plant,-32.9912336,-60.7588733
Ivaco Rolling Mills LP,650.0,1,1,1,,Ivaco Rolling Mills steel plant,45.613941,-74.704608
Al Qaryan Steel Co,650.0,1,1,1,,Al Qaryan steel plant,26.280741,49.956755
ORI Martin - Acciaieria e Ferriera di Brescia SpA,650.0,1,1,1,,Ori Martin Brescia steel plant,45.566054,10.2147
Guangdong Guixin Steel Co Ltd,630.0,1,1,1,1383225148.037752,Guangdong Guixin Steel Co Ltd,23.517109,113.106865
Gulf Tubing Co,630.0,1,1,1,,Gulf Tubing Company Ras Al-Khair steel plant,27.502041,49.189647
Lianyungang Huale Alloy Group Co Ltd,621.0,1,1,1,175014771.30063456,Lianyungang Huale Alloy Group Co Ltd,34.607964,119.447626
Huizhou Jushun Iron and Steel Plant,620.0,1,1,1,5079645602.338191,Huizhou Jushun Iron and Steel Plant,23.178652,114.279374
Heyuan Huacheng Metal Products Co Ltd,620.0,1,1,1,661354659.4113086,Heyuan Yuancheng Huafa Metal Products Co Ltd,23.56658,114.598993
Max Aicher GmbH & Co KG,620.0,1,1,1,,Max Aicher Slovakia Steel Mills Strazske,48.886028,21.82705
Fengshun Changsheng Precision Steel Casting Co Ltd,620.0,1,1,1,1746497357.0257854,Fengshun Changsheng Special Steel Casting Co Ltd Qingyuan Branch,23.507015,112.953822
Shyam Steel Manufacturing Ltd,616.0,1,1,1,675556161.7232339,Shyam Steel Mejia steel plant,23.564157,87.089552
BPA Metallics Pvt Ltd,613.0,1,1,1,400367384.08294696,BPA Metallics Raigarh steel plant,21.926993,83.374089
Ceylon Steel Co Ltd,600.0,1,1,1,,Lanwa Steel Hambantota steel plant,6.128077,81.075224
Tembo Steels Uganda Ltd,600.0,1,1,1,,Tembo Steels Iganga plant,0.611975,33.457629
Arabian Gulf Steel Industries Selling Port LLC,600.0,1,1,1,,Arabian Gulf Steel Industries Abu Dhabi plant,24.283335,54.463384
Sichuan Gangchen Stainless Steel Co Ltd,600.0,1,1,1,473439435.8729224,Sichuan Gangchen Stainless Steel Co Ltd,29.501044,103.607365
Atibir Industries Co Ltd,600.0,1,1,1,510655890.86209947,Atibir Industries Bhorandiha steel plant,24.145239,86.334999
Corrugados Getafe SL,600.0,1,1,1,,Grupo Gallardo Corrugados Getafe steel plant,40.310803,-3.703568
Fujian Dingxin Industry Co Ltd,600.0,1,1,1,11794218.386546498,Fujian Dingxin Industrial Co Ltd,26.7695,119.738519
Baotou Baoxin Special Steel Co Ltd,600.0,1,1,1,883833.8895358075,Baotou Baoxin Special Steel Co Ltd,41.362925,110.988771
Shiyan Fuyan Iron and Steel Co Ltd,600.0,1,1,1,111115982.9373292,Shiyan Fuyan Iron and Steel Co Ltd,32.650367,110.654794
Industrie Riunite Odolesi IRO SpA,600.0,1,1,1,,IRO Odolo steel plant,45.645688,10.374305
SN MAIA Siderurgia Nacional SA,600.0,1,1,1,,SN MAIA Siderurgia Nacional steel plant,41.255085,-8.555285
JSW Steel Italy Piombino SpA,600.0,1,1,1,,JSW Steel Piombino steel plant,42.93652,10.537794
Sarmad Iron and Steel Complex Abarkouh,600.0,1,1,1,,Sarmad Iron and Steel Complex Abarkouh,31.222989,53.392728
F&F Steel,600.0,1,1,1,,F&F Steel Erbil plant,36.113741,43.979714
Scaw Metals Group Pty Ltd,600.0,1,1,1,,Scaw Metals Group Germiston steel plant,-26.273316,28.163761
Kam Industries (Nigeria) Ltd,600.0,1,1,1,,Kam Industries Kwara steel plant,8.390993,4.674475
Government of Tunisia,600.0,1,1,1,,El Fouladh Steel Plant,37.13763,9.81281
E-Top Metal Co Ltd,600.0,1,1,1,,E Top Metal Changhua steel plant,24.167872,120.505482
Swadesh Metallics Pvt Ltd,600.0,1,1,1,194558399.93739942,Swadesh Metallics Simga steel plant,21.625706,81.705254
Deutsche Edelstahlwerke GmbH,600.0,1,1,1,,Deutsche Edelstahlwerke steel plant,50.922844,8.024006
Donalam SRL,600.0,1,1,1,,AFV Donalam Targoviste steel plant,44.904569,25.458124
Nakayama Steel Products Co Ltd,600.0,1,1,1,324278211589.9782,Nakayama Steel Products Osaka plant,34.699762,135.430119
TY Steel Co Ltd,600.0,1,1,1,,TY Steel Rayong plant,12.857307,101.21314
Aco Verde do Brasil SA,600.0,1,1,1,,AVB Açailândia steel plant,-4.874373,-47.4073517
Yichang Fulong Iron & Steel Co Ltd,600.0,1,1,1,3382709142.716387,Yichang Fulong Iron and Steel Co Ltd,30.586332,111.398846
Acciaierie di Calvisano SpA,600.0,1,1,1,,Feralpi Calvisano steel plant,45.371651,10.331967
Hai Kwang Enterprise Corp,600.0,1,1,1,,Hai Kwang Enterprise Kaohsiung steel plant,22.550634,120.365645
Shougang Guiyang SPECIAL Steel Co Ltd,600.0,1,1,1,264952407.92503846,Shougang Guiyang Special Steel Co Ltd,26.873592,106.73215
Dar Al Arkan Real Estate Development Company SJSC,600.0,1,1,1,,Arkan Steel Jeddah plant,21.524005,39.240633
Rio Tinto Iron and Titanium Canada Inc,600.0,1,1,1,,Rio Tinto Fer et Titane steel plant,46.044367,-73.138474
Mashiz Bardsir Steel Industries Co,600.0,1,1,1,,Mashiz Steel Industries Bardsir steel plant,29.948688,56.732593
Bangkok Steel Industry PCL,600.0,1,1,1,,Bangkok Steel Industry Samut Prakan steel plant,13.647672,100.553882
KIC Metaliks Ltd,598.0,1,1,1,1554639245.0040002,KIC Metaliks Durgapur steel plant,23.507539,87.277914
Mughal Iron & Steel Industries Ltd,583.0,1,1,1,,Mughal Iron & Steel Industries Lahore plant,31.653035,74.183149
Van Merksteijn International BV,580.0,1,1,1,,Van Merksteijn International steel plant,53.440581,6.844773
State Company for Iron and Steel (Iraq),580.0,1,1,1,,State Company for Iron & Steel Basra plant,30.2471634,47.832418
Fogang Dawei Special Steel Co Ltd,575.0,1,1,1,794462578.72561,"Fogang Dawei Special Steel Co., Ltd.",23.893972,113.500829
Inner Mongolia Wanzhou Special Steel Co Ltd,575.0,1,1,1,13833901.491643237,Inner Mongolia Wanzhou Special Steel Co Ltd,40.977329,110.022924
A. Finkl & Sons Corp,573.0,1,1,1,,Finkl Steel Chicago plant,41.724915,-87.589968
Nucor Steel Kingman LLC,572.0,1,1,1,,Nucor Steel Kingman plant,35.143192,-114.089568
Vietnam - Italy Steel JSC,552.0,1,1,1,,Vietnam Italy Steel Pho Noi steel plant,20.946428,106.025454
Sichuan Shehong Chuanzhong Construction Materials Co Ltd,550.0,1,1,1,442654217.20127475,Sichuan Shehong Chuanzhong Construction Materials Co Ltd,30.830726,105.367695
Makstil AD,550.0,1,1,1,,Makstil Skopje Steel plant,42.016228,21.46605
Iton Seine SAS,550.0,1,1,1,,Riva Iton Seine Bonnieres Sur Seine steel plant,49.033678,1.561022
Tuyen Quang Iron Steel Co Ltd,550.0,1,1,1,,Tuyen Quang Iron and Steel Long Binh steel plant,21.738739,105.247545
VNSTEEL Southern Steel Co Ltd,550.0,1,1,1,,VNSteel Southern Steel Phu My plant,10.576597,107.028995
Faizan Steel,548.0,1,1,1,,Faizan Steel Karachi steel plant,24.897652,66.985678
Hybar LLC,544.0,1,1,1,,Hybar Arkansas steel plant,35.686814,-89.961981
S.C. Silcotub SA,535.0,1,1,1,,Tenaris Silcotub Calarasi steel mill,44.217275,27.29968
Gerdau SA,530.0,1,1,1,,Gerdau Pindamonhangaba steel plant,-22.89918,-45.347726
Chongqing Pengcheng Steel Co Ltd,520.0,1,1,1,3649329774.430953,Chongqing Pengcheng Steel Co Ltd,29.259699,106.214031
Aceros AZA SA,520.0,1,1,1,,AZA Colina steel plant,-33.294729,-70.727881
Guangdong Yuehua Iron & Steel Group Co Ltd,520.0,1,1,1,386008960.44992363,Guangdong Yuehua Iron & Steel Group Co Ltd,24.275783,113.388896
Taishan Baofeng Iron & Steel Co Ltd,520.0,1,1,1,4190029623.921236,Taishan Baofeng Iron & Steel Co Ltd,22.425677,112.788855
Amir Kabir Arak Steel Co,513.0,1,1,1,,Amirkabir Arak Steel plant,34.083379,49.752451
KMK Tempo JSC,504.0,1,1,1,,Kamsky Metallurgical Works TEMPO,55.723465,52.541024
Krasnyi Oktyabr' Corporation JSC,501.0,1,1,1,,VMK Red October steel plant,48.754025,44.561004
Green Steel of WA Pty Ltd,500.0,2,1,1,,Green Steel of WA Collie Steel plant,-33.341998,116.239926
Ekos Steel Mill PLC,500.0,1,1,1,,Ekos Steel Dukem plant,8.781155,38.932065
Ada - Aceria De Angola SA,500.0,1,1,1,,Aceria Angola Bengo steel plant,-8.5824,13.405271
AFA Steel,500.0,1,1,1,,Amir Azerbaijan Steel plant,46.843697,46.843697
Delta Steel Mills Co,500.0,1,1,1,,Delta Steel Mill Al Qalyubia plant,30.11843,31.281264
Baosteel Special Metals Co Ltd,500.0,1,1,1,72345769161.90762,Baosteel Special Steel Co Ltd,31.379422,121.484652
Baobab Steel Ltd,500.0,1,1,1,,Tete Steel Maputo plant,-15.724345,33.762664
WISCO Group Xiangyang Heavy Equipment MATERIALS Co Ltd,500.0,1,1,1,6115679576.442959,WISCO Group Xiangyang Heavy Equipment Materials Co Ltd,32.10704,112.235621
Linyi Meide Gengchen Metal Materials Co Ltd,500.0,1,1,1,374021532.01611346,Linyi Meide Gengchen Metal Materials Co Ltd,35.188667,119.087048
Corporación AG SA,500.0,1,1,1,,AG Sidegua Masagua steel plant,14.232007,-90.815444
Megasider Zaragoza SA,500.0,1,1,1,,Megasider Zaragoza steel plant,41.56988,-0.856566
Huainan Hongtai Steel Limited Liability Co,500.0,1,1,1,4888696838.2685,Huainan Hongtai Iron and Steel Co Ltd,32.619248,116.905869
Sin Yuan Steel LLP,500.0,1,1,1,,Sin Yuan Steel Shymkent steel plant,42.272259,69.7261
VAS Steel Tue Minh JSC,500.0,1,1,1,,VAS Tue Minh Steel Binh Duong plant,11.113343,106.831064
Kishiwada Steel Co Ltd,500.0,1,1,1,38442254742.5372,Kishiwada Steel Osaka steel plant,34.477479,135.353918
VinMetal Joint Stock Company JSC,500.0,1,1,1,,VinMetal Ha Tinh steel plant,18.353226,105.903042
StavStal' LLC,500.0,1,1,1,,StavStal Metallurgical Plant,44.688323,41.927331
Jingdong Steel,500.0,1,1,1,,Jingdong Steel M'Sila steel plant,35.698361,4.478169
Guangdong Fogang Jincheng Metal Products Co Ltd,500.0,1,1,1,92889374.35438424,Guangdong Fogang Jincheng Metal Products Co Ltd,23.741965,113.502168
Guangdong Zhanhong Steel Plant,500.0,1,1,1,33770610.58382256,Guangdong Zhanhong Steel Plant,23.037858,114.970593
Zhejiang TSINGSHAN IRON&STEEL Co Ltd,500.0,1,1,1,1195110580.909999,Zhejiang Tsingshan Iron and Steel Co Ltd,28.136096,120.380401
Adhunik Metaliks Ltd,500.0,1,1,1,721177173.7528095,Adhunik Metaliks Kuanrmunda steel plant,22.308371,84.763584
Guangdong Yueshao Iron & Steel Co Ltd,500.0,1,1,1,2904267538.2436757,Guangdong Yueshao Iron & Steel Co Ltd,24.688355,113.657408
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",500.0,1,1,1,60598213.36689451,Anhui Lixin Special Steel Co Ltd,31.0494162,119.5296269
Jiangxi Yuanxing Iron and Steel Co Ltd,500.0,1,1,1,982532261.0660375,Jiangxi Yuanxing Iron and Steel Co Ltd,24.881098,114.802833
Acciaierie di Sicilia SpA,500.0,1,1,1,,Alfa Acciai Catania steel plant,37.438448,15.03287
VAS Steel An Hung Tuong LLC,500.0,1,1,1,,VAS An Hung Tuong Steel Binh Duong plant,11.054204,106.615962
Cognor Holding SA,500.0,1,1,1,,Ferrostal Labedy Gliwice steel plant,50.357438,18.610739
Ningbo Haoyang New MATERIALS Techonology Co Ltd,500.0,1,1,1,4420088191.603954,Ningbo Haoyang New Materials Techonology Co Ltd,30.267113,121.052503
Vardhman Special Steels Limited,500.0,1,1,1,2490777403.6033077,Vardhman Special Steels Ludhiana steel plant,30.890103,75.908673
Equest Steel Pty Ltd,500.0,1,1,1,,Alter Steel Pinkenba steel plant,-27.42083,153.127715
Asean Steel JSC,500.0,1,1,1,,ASEAN Steel Hoa Phu steel plant,12.59912,107.93922
Tianjin Rongcheng Group Tangshan Special Steel Co Ltd; Tangshan Zhengfeng Steel Co Ltd,500.0,1,1,1,2256673828.2882605,Tianjin Rongcheng Group Tangshan Fengrun Special Steel Co Ltd,39.85271,118.181279
Anhui Jin'an Stainless Steel Foundry Co Ltd,500.0,1,1,1,413630926.1177371,Anhui Jin an Stainless Steel Casting Co Ltd,31.763956,115.924372
Metalfer Steel Mill Sremska Mitrovica doo,500.0,1,1,1,,Metalfer Sremska Mitrovica steel plant,44.977213,19.64601
Hubei Dazhan Steel & Iron Co Ltd,500.0,1,1,1,600972460.8080096,Hubei Dazhan Iron and Steel Co Ltd,31.006752,113.754995
Lao Cai Cast Iron and Steel,500.0,1,1,1,,Lao Cai Cast Iron and Steel Tang Long plant,22.306931,104.12992
Viet Nhat Advanced Steel JSC,500.0,1,1,1,,Viet Nhat VJS Nam Cau Kien steel plant,20.90553,106.628701
Liaoyang Xinyi Special Steel Co Ltd,500.0,1,1,1,4381066890.384275,Liaoyang Xinyi Special Steel Co Ltd,41.225003,122.970488
GLGH Steel LLC,500.0,1,1,1,,GLGH Resita steel plant,45.293492,21.90241
Agha Steel Industries Ltd,450.0,1,1,1,,Agha Steel Industries Karachi plant,24.841851,67.310159
Jai Balaji Jyoti Steels Ltd,422.0,1,1,1,94945328.67570616,Jai Balaji Jyoti Steels Sundargarh plant,22.085338,84.86184
Myanmar Economic Corp,400.0,1,1,1,,Myingyan Myanmar steel plant,21.377652,95.372079
Ozmert Algeria SARL,390.0,1,1,1,,Ozmert Algeria steel plant,35.47858,-0.62139
Nilachal Iron & Power Ltd,299.0,1,1,1,631216996.6196955,Nilachal Iron & Power Gamharia steel plant,22.874863,86.063646
Chongqing Yuxi Iron & Steel (Group) Co Ltd,260.0,1,1,1,157576554.0679347,Chongqing Yuxi Iron & Steel (Group) Co Ltd,29.488759,105.862658
Linzhou Hexin Foundry Co Ltd,240.0,1,1,1,1250100343.4634068,Linzhou Hexin Foundry Co Ltd,36.112742,113.861135
Gostar Almas Steel Co,0.0,1,1,1,,Gostar Almas Steel Saqqez Plant,36.215731,46.499322
Progressive Green Solutions JV,0.0,1,1,1,,PGS Geraldton Green Iron Plant,-28.70725,114.900163
GravitHy,0.0,2,2,1,,GravitHy Fos sur Mer iron plant,43.436519,4.852576
Green Iron Magnetite Project,0.0,1,1,1,,Lincoln Minerals South Australia Green Iron Plant,-34.595209,135.84922
Nemo Industries Inc,0.0,1,1,1,,Nemo Industries Ironworks I,30.092838753017322,-90.9539266739139
